index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
12,7,-171.252,88.1160,49.9706,-189.231,61.4848,4.17647e-15,-188.466,32.3245,54.9937
12,8,-198.969,2.19570e-14,8.78279e-15,-189.231,61.4848,4.17647e-15,-188.466,32.3245,54.9937
12,9,-188.466,32.3245,54.9937,-198.969,2.63484e-14,1.31742e-14,-188.466,-32.3245,54.9937
12,10,-189.231,-61.4848,8.35293e-15,-198.969,2.63484e-14,1.31742e-14,-188.466,-32.3245,54.9937
12,11,-188.466,-32.3245,54.9937,-189.231,-61.4848,1.25294e-14,-171.252,-88.1160,49.9706
13,0,-143.975,-104.604,88.9816,-136.723,-135.641,49.9706,-105.839,-135.641,99.9412
13,1,-88.9816,-169.253,54.9937,-136.723,-135.641,49.9706,-105.839,-135.641,99.9412
13,2,-105.839,-135.641,99.9412,-88.9816,-169.253,54.9937,-52.3021,-160.969,104.604
13,3,-27.4968,-189.231,54.9937,-88.9816,-169.253,54.9937,-52.3021,-160.969,104.604
13,4,-52.3021,-160.969,104.604,-27.4968,-189.231,54.9937,5.89823,-171.947,99.9412
13,5,30.8835,-190.099,49.9706,-27.4968,-189.231,54.9937,5.89823,-171.947,99.9412
13,6,5.89823,-171.947,99.9412,30.8835,-190.099,49.9706,54.9937,-169.253,88.9816
13,7,-136.723,-135.641,49.9706,-116.951,-160.969,4.17647e-15,-88.9816,-169.253,54.9937
13,8,-61.4848,-189.231,8.78279e-15,-116.951,-160.969,4.17647e-15,-88.9816,-169.253,54.9937
13,9,-88.9816,-169.253,54.9937,-61.4848,-189.231,1.31742e-14,-27.4968,-189.231,54.9937
13,10,-3.75882e-14,-198.969,8.35293e-15,-61.4848,-189.231,1.31742e-14,-27.4968,-189.231,54.9937
13,11,-27.4968,-189.231,54.9937,-3.34117e-14,-198.969,1.25294e-14,30.8835,-190.099,49.9706
14,0,54.9937,-169.253,88.9816,86.7524,-171.947,49.9706,96.2959,-142.575,99.9412
14,1,133.472,-136.929,54.9937,86.7524,-171.947,49.9706,96.2959,-142.575,99.9412
14,2,96.2959,-142.575,99.9412,133.472,-136.929,54.9937,136.929,-99.4845,104.604
14,3,171.472,-84.6266,54.9937,133.472,-136.929,54.9937,136.929,-99.4845,104.604
14,4,136.929,-99.4845,104.604,171.472,-84.6266,54.9937,165.354,-47.5249,99.9412
14,5,190.339,-29.3720,49.9706,171.472,-84.6266,54.9937,165.354,-47.5249,99.9412
14,6,165.354,-47.5249,99.9412,190.339,-29.3720,49.9706,177.963,-4.97380e-14,88.9816
14,7,86.7524,-171.947,49.9706,116.951,-160.969,4.17647e-15,133.472,-136.929,54.9937
14,8,160.969,-116.951,8.78279e-15,116.951,-160.969,4.17647e-15,133.472,-136.929,54.9937
14,9,133.472,-136.929,54.9937,160.969,-116.951,1.31742e-14,171.472,-84.6266,54.9937
14,10,189.231,-61.4848,8.35293e-15,160.969,-116.951,1.31742e-14,171.472,-84.6266,54.9937
14,11,171.472,-84.6266,54.9937,189.231,-61.4848,1.25294e-14,190.339,-29.3720,49.9706
